station_id,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement
405274,190,661.4904785,353.6557922,471.4904785,13.82,22.4390984,1.0092497,4,0.6868822,0.331018,0.0205068,0.6648,0.1033,0.1389,0.0893,0.0038,0,0,0,0,0,0.5
406208,617,749.9716187,671.0058594,132.9716187,4.39,12.6309462,0.7786978,3,0.5811589,0.5400119,0.0135912,0.4611,0.0395,0.2326,0.2418,0.0249,0,0,0,0,0,1
406213,215,999.9790649,510.2055359,784.9790649,6.34,75.607605,0.8634104,5,0.3769714,0.3777719,0.0104107,0.5007,0.0709,0.1832,0.1737,0.0411,0.0271,0.0033,0,0,0,1
406214,174,704.9907227,276.5566101,530.9907227,6.06,30.2387333,0.9681264,5,0.5742098,0.2025082,0.0177662,0.4739,0.0603,0.1819,0.19,0.0521,0.0367,0.0051,0,0,0,0.4
406224,143,386.128418,188.6967163,243.128418,2.83,38.5328903,0.8787059,4,0.4626249,0.2378861,0.006723,0.3232,0.016,0.1155,0.2405,0.0827,0.1215,0.1003,0.0003,0,0,0.11
407214,308,730.8079224,456.7790222,422.8079224,4.99,41.4875412,0.7798271,4,0.4740728,0.3712927,0.0105058,0.4581,0.0552,0.1712,0.1989,0.0759,0.0402,0.0005,0,0,0,0.65
407215,215,852.5147705,416.1818237,637.5147705,7.46,61.2682076,0.740053,5,0.5905717,0.3218455,0.0105016,0.5465,0.1037,0.196,0.1187,0.0234,0.0115,0.0001,0,0,0,0.45
407220,198,615.7205811,311.733551,417.7205811,4.61,56.7034225,0.7148162,4,0.3783022,0.2770548,0.0074155,0.439,0.0396,0.18,0.2292,0.0633,0.0327,0.0161,0,0,0,0.1
407230,240,699.9320679,399.4685669,459.9320679,6.42,35.6617699,0.6873347,3,0.3964255,0.3512285,0.0129866,0.5305,0.0786,0.1966,0.1522,0.0312,0.0109,0,0,0,0,0.44
407253,124,439.2096558,176.6784515,315.2096558,1.92,81.980957,0.8339636,4,0.3547471,0.1922291,0.0039644,0.2398,0.0091,0.0857,0.1763,0.0775,0.0961,0.1307,0.1849,0,0,0.09
408200,152,783.6311646,253.0708923,631.6311646,4.82,132.4187317,0.877921,5,0.44199,0.1759693,0.0048623,0.3751,0.0263,0.13,0.1957,0.0813,0.0876,0.069,0.035,0,0,0.27
408202,275,783.6311646,398.3177185,508.6311646,11.74,17.08288,0.8005283,3,0.6000316,0.2438396,0.029829,0.6188,0.0747,0.1585,0.1201,0.0262,0.0017,0,0,0,0,0.73
410057,302,1716.206299,941.0384521,1414.206299,24.44,49.5695457,0.8918395,5,0.5882797,0.453208,0.0285995,0.8634,0.0839,0.0482,0.0045,0,0,0,0,0,0,1
410061,357,999.6032104,639.1488647,642.6032104,16.83,30.9639988,0.8670747,3,0.4429364,0.4477465,0.0210792,0.7916,0.1241,0.0744,0.0099,0,0,0,0,0,0,1
410705,694,1301.891602,861.522644,607.891602,11.19,56.2527084,0.6720167,5,0.4540449,0.3122244,0.0113822,0.624,0.1123,0.1365,0.0631,0.0386,0.0254,0,0,0,0,1
410730,968,1912.226318,1351.368774,944.226318,27.45,20.9050941,0.7550403,3,0.615256,0.3971281,0.0445016,0.9035,0.0566,0.0345,0.0054,0,0,0,0,0,0,1
410731,622,1738.844116,1137.093872,1116.844116,25.2,57.8181343,0.6454763,4,0.5064737,0.4672579,0.019536,0.8652,0.0667,0.0498,0.0181,0.0001,0,0,0,0,0,1
410734,787,1554.879395,1087.263672,767.879395,15.3,54.7828941,0.6272095,3,0.4892146,0.3947022,0.0141018,0.7438,0.1171,0.1139,0.0252,0.0001,0,0,0,0,0,0.57
410761,588,1869.716675,1034.091065,1281.716675,13.71,229.5736237,0.7245563,6,0.352998,0.3508931,0.0056076,0.6872,0.1081,0.1328,0.0612,0.0098,0.0009,0,0,0,0,1
412028,430,1317.16333,868.6021729,887.16333,13.71,123.66745,0.9127052,6,0.4681575,0.5003884,0.00726,0.6884,0.1101,0.1409,0.0546,0.0032,0.0027,0,0,0,0,1
412050,464,1039.977417,813.9497681,575.977417,8.11,67.7757187,0.761334,5,0.4595943,0.6047434,0.0084374,0.572,0.1125,0.1949,0.106,0.0123,0.0023,0,0,0,0,0.81
412066,551,1317.16333,895.7562866,766.16333,13,74.726532,0.9068342,6,0.609741,0.4531339,0.0103121,0.6747,0.1044,0.1453,0.0662,0.005,0.0044,0,0,0,0,1
415207,273,948.7115479,447.6877136,675.7115479,15.87,29.4543018,0.6845419,4,0.668815,0.2854493,0.0238055,0.7157,0.0819,0.1086,0.0772,0.015,0.0015,0,0,0,0,1
415226,161,295.4124451,194.2033539,134.4124451,1.62,32.1810913,1.0037875,3,0.3970283,0.288938,0.0044229,0.2592,0.0073,0.0988,0.1657,0.1065,0.1346,0.2255,0.0023,0,0,0.32
415237,205,520.7132568,264.9304504,315.7132568,4.95,35.9018059,0.9470778,4,0.4953866,0.1984714,0.0088887,0.4376,0.0407,0.1946,0.2163,0.0479,0.0559,0.007,0,0,0,0.06
416003,667,1324.881226,888.0122681,657.881226,11.6,73.6875381,0.8977472,4,0.3623763,0.3812705,0.009582,0.6123,0.0737,0.1742,0.1342,0.0051,0.0005,0,0,0,0,0.98
416008,340,1217.462891,806.0716553,877.462891,12.63,85.2064438,0.8336205,4,0.4002766,0.5276327,0.0102212,0.6345,0.0858,0.15,0.1119,0.0142,0.0037,0,0,0,0,1
418005,763,1184.950806,860.0620117,421.950806,6.61,43.3718948,0.628428,4,0.4118747,0.2622637,0.0101537,0.5158,0.0726,0.1958,0.1982,0.0165,0.0011,0,0,0,0,0.9
418014,749,1409.092529,1030.480469,660.092529,8.4,64.4321289,0.8742808,5,0.5061731,0.4321767,0.0103485,0.5707,0.0908,0.1961,0.1311,0.0102,0.0011,0,0,0,0,0.88
419005,378,1461.414795,921.3580933,1083.414795,12.11,223.4780121,0.9035577,5,0.2545414,0.5052,0.004884,0.6388,0.1035,0.1771,0.077,0.0036,0,0,0,0,0,0.97
422202B,291,476.5356445,348.8753967,185.5356445,1.86,107.6105118,0.5789661,6,0.5637684,0.3197424,0.0017439,0.2417,0.009,0.0879,0.1854,0.0874,0.1007,0.1253,0.0838,0.0786,0,0
422306A,540,1248.925293,758.8920288,708.925293,27.44,20.0039558,0.6897065,3,0.5202746,0.3262381,0.0363583,0.8631,0.0689,0.0461,0.0214,0.0005,0,0,0,0,0,1
422313B,503,1380.436401,757.0748901,877.436401,28.05,33.7442207,0.6817579,3,0.4265551,0.3030237,0.0265047,0.8443,0.0558,0.0485,0.0347,0.0167,0,0,0,0,0,0.8
422319B,476,1070.622192,643.8112793,594.622192,17.08,46.5423737,0.923304,4,0.3845541,0.3021137,0.0131402,0.6704,0.0686,0.1191,0.0798,0.0521,0.01,0,0,0,0,0.65
422321B,562,1076.135742,852.8706665,514.135742,19.83,12.7833929,0.7370826,2,0.5072291,0.5761181,0.0412031,0.8265,0.1047,0.0631,0.0057,0,0,0,0,0,0,1
422334A,424,975.0787964,544.5761719,551.0787964,8.16,57.0637398,0.74019,4,0.4506961,0.2126041,0.0095813,0.4681,0.0492,0.1356,0.1337,0.0882,0.0992,0.026,0,0,0,0.17
422394A,476,1337.580078,652.8101807,861.580078,14.94,52.5449562,0.88626,4,0.3904369,0.2033536,0.0163587,0.6562,0.0811,0.1284,0.0873,0.0356,0.0112,0.0003,0,0,0,0.27
